Level	Rule Name	Subject	Property	Value
WARN	duplicate_label_synonym	CL:0000448	oboInOwl:hasExactSynonym	white fat cell
WARN	duplicate_label_synonym	CL:0000598	oboInOwl:hasExactSynonym	pyramidal neuron
WARN	duplicate_label_synonym	CL:0009077	oboInOwl:hasExactSynonym	subcapsular thymic epithelial cell
WARN	duplicate_label_synonym	CL:1000409	oboInOwl:hasExactSynonym	myocyte of sinoatrial node
WARN	duplicate_label_synonym	CL:1001435	oboInOwl:hasExactSynonym	periglomerular cell
WARN	missing_definition	CL:0000006	IAO:0000115	
WARN	missing_definition	CL:0000028	IAO:0000115	
WARN	missing_definition	CL:0000029	IAO:0000115	
WARN	missing_definition	CL:0000030	IAO:0000115	
WARN	missing_definition	CL:0000036	IAO:0000115	
WARN	missing_definition	CL:0000054	IAO:0000115	
WARN	missing_definition	CL:0000069	IAO:0000115	
WARN	missing_definition	CL:0000072	IAO:0000115	
WARN	missing_definition	CL:0000073	IAO:0000115	
WARN	missing_definition	CL:0000076	IAO:0000115	
WARN	missing_definition	CL:0000078	IAO:0000115	
WARN	missing_definition	CL:0000079	IAO:0000115	
WARN	missing_definition	CL:0000095	IAO:0000115	
WARN	missing_definition	CL:0000102	IAO:0000115	
WARN	missing_definition	CL:0000109	IAO:0000115	
WARN	missing_definition	CL:0000112	IAO:0000115	
WARN	missing_definition	CL:0000114	IAO:0000115	
WARN	missing_definition	CL:0000117	IAO:0000115	
WARN	missing_definition	CL:0000123	IAO:0000115	
WARN	missing_definition	CL:0000130	IAO:0000115	
WARN	missing_definition	CL:0000131	IAO:0000115	
WARN	missing_definition	CL:0000143	IAO:0000115	
WARN	missing_definition	CL:0000146	IAO:0000115	
WARN	missing_definition	CL:0000149	IAO:0000115	
WARN	missing_definition	CL:0000154	IAO:0000115	
WARN	missing_definition	CL:0000159	IAO:0000115	
WARN	missing_definition	CL:0000161	IAO:0000115	
WARN	missing_definition	CL:0000167	IAO:0000115	
WARN	missing_definition	CL:0000168	IAO:0000115	
WARN	missing_definition	CL:0000172	IAO:0000115	
WARN	missing_definition	CL:0000174	IAO:0000115	
WARN	missing_definition	CL:0000176	IAO:0000115	
WARN	missing_definition	CL:0000177	IAO:0000115	
WARN	missing_definition	CL:0000179	IAO:0000115	
WARN	missing_definition	CL:0000200	IAO:0000115	
WARN	missing_definition	CL:0000203	IAO:0000115	
WARN	missing_definition	CL:0000204	IAO:0000115	
WARN	missing_definition	CL:0000207	IAO:0000115	
WARN	missing_definition	CL:0000208	IAO:0000115	
WARN	missing_definition	CL:0000217	IAO:0000115	
WARN	missing_definition	CL:0000227	IAO:0000115	
WARN	missing_definition	CL:0000237	IAO:0000115	
WARN	missing_definition	CL:0000238	IAO:0000115	
WARN	missing_definition	CL:0000239	IAO:0000115	
WARN	missing_definition	CL:0000240	IAO:0000115	
WARN	missing_definition	CL:0000241	IAO:0000115	
WARN	missing_definition	CL:0000246	IAO:0000115	
WARN	missing_definition	CL:0000249	IAO:0000115	
WARN	missing_definition	CL:0000251	IAO:0000115	
WARN	missing_definition	CL:0000253	IAO:0000115	
WARN	missing_definition	CL:0000255	IAO:0000115	
WARN	missing_definition	CL:0000256	IAO:0000115	
WARN	missing_definition	CL:0000257	IAO:0000115	
WARN	missing_definition	CL:0000287	IAO:0000115	
WARN	missing_definition	CL:0000306	IAO:0000115	
WARN	missing_definition	CL:0000308	IAO:0000115	
WARN	missing_definition	CL:0000309	IAO:0000115	
WARN	missing_definition	CL:0000310	IAO:0000115	
WARN	missing_definition	CL:0000311	IAO:0000115	
WARN	missing_definition	CL:0000314	IAO:0000115	
WARN	missing_definition	CL:0000319	IAO:0000115	
